Name,FileName,BitDepth,Format,FrameRate,0,width,height,Frames,Level
tango2,Tango2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,294,5.1
foodmarket4,FoodMarket4_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
campfire,Campfire_3840x2160_30fps_10bit_420_bt709_videoRange.yuv,10,420,30,0,3840,2160,300,5.1
catrobot1,CatRobot1_3840x2160p_60_10_709_420.yuv,10,420,60,0,3840,2160,300,5.1
daylightroad2,DaylightRoad2_3840x2160_60fps_10bit_420.yuv,10,420,60,0,3840,2160,300,5.1
parkrunning3,ParkRunning3_3840x2160_50fps_10bit_420.yuv,10,420,50,0,3840,2160,300,5.1
marketplace,MarketPlace_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
ritualdance,RitualDance_1920x1080_60fps_10bit_420.yuv,10,420,60,0,1920,1080,600,4.1
cactus,Cactus_1920x1080_50.yuv,8,420,50,0,1920,1080,500,4.1
basketballdrive,BasketballDrive_1920x1080_50.yuv,8,420,50,0,1920,1080,500,4.1
bqterrace,BQTerrace_1920x1080_60.yuv,8,420,60,0,1920,1080,600,4.1
basketballdrill,BasketballDrill_832x480_50.yuv,8,420,50,0,832,480,500,3.1
bqmall,BQMall_832x480_60.yuv,8,420,60,0,832,480,600,3.1
partyscene,PartyScene_832x480_50.yuv,8,420,50,0,832,480,500,3.1
racehorse,RaceHorses_832x480_30.yuv,8,420,30,0,832,480,300,3
basketballpass,BasketballPass_416x240_50.yuv,8,420,50,0,416,240,500,2.1
bqsquare,BQSquare_416x240_60.yuv,8,420,60,0,416,240,600,2.1
blowingbubbles,BlowingBubbles_416x240_50.yuv,8,420,50,0,416,240,500,2.1
racehorses,RaceHorses_416x240_30.yuv,8,420,30,0,416,240,300,2
fourpeople,FourPeople_1280x720_60.yuv,8,420,60,0,1280,720,600,4
johnny,Johnny_1280x720_60.yuv,8,420,60,0,1280,720,600,4
kristenandsara,KristenAndSara_1280x720_60.yuv,8,420,60,0,1280,720,600,4
basketballdrilltext,BasketballDrillText_832x480_50.yuv,8,420,50,0,832,480,500,3.1
chinaspeed,ChinaSpeed_1024x768_30.yuv,8,420,30,0,1024,768,500,3.1
slideediting,SlideEditing_1280x720_30.yuv,8,420,30,0,1280,720,300,3.1
slideshow,SlideShow_1280x720_20.yuv,8,420,20,0,1280,720,500,3.1
traffic,Traffic_2560x1600_30_crop.yuv,8,420,30,0,2560,1600,150,5
peopleonstreet,PeopleOnStreet_2560x1600_30_crop.yuv,8,420,30,0,2560,1600,150,5
nebuta,NebutaFestival_2560x1600_60_10bit_crop.yuv,10,420,60,0,2560,1600,300,5
steamlocomotive,SteamLocomotiveTrain_2560x1600_60_10bit_crop.yuv,10,420,60,0,2560,1600,300,5
kimono,Kimono1_1920x1080_24.yuv,8,420,24,0,1920,1080,240,4
parkscene,ParkScene_1920x1080_24.yuv,8,420,24,0,1920,1080,240,4
arenaofvalor,ArenaOfValor_1920x1080_60_8bit_420.yuv,8,420,60,0,1920,1080,600,4.1
